Année;Catégorie;Nom;Lauréat;Sexe;Pour
2014;Meilleure Actrice;Léa Seydoux;Non;F;LA VIE D'ADÈLE CHAPITRES 1 & 2
2013;Meilleure Actrice;Léa Seydoux;Non;F;LES ADIEUX À LA REINE
1994;Meilleur Scénario Original et/ou Adaptation;Claude Berri, Arlette Langmann-Ramonet;Non;Mixte;GERMINAL
1987;Meilleur Scénario Original et/ou Adaptation;Claude Berri, Gérard Brach;Non;M;JEAN DE FLORETTE
2012;Meilleure Actrice;Leïla Bekhti;Non;F;LA SOURCE DES FEMMES
1996;Meilleur Scénario Original et/ou Adaptation;Claude Chabrol, Caroline Eliacheff;Non;Mixte;LA CÉRÉMONIE
1991;Meilleur Scénario Original et/ou Adaptation;Claude Klotz, Patrice Leconte;Non;M;LE MARI DE LA COIFFEUSE
1985;Meilleur Scénario Original et Dialogues;Claude Zidi;Non;M;LES RIPOUX
1993;Meilleur Scénario Original et/ou Adaptation;Coline Serreau;Oui;F;LA CRISE
2002;Meilleur Scénario Original ou Adaptation;Coline Serreau;Non;F;CHAOS
1986;Meilleur Scénario, Adaptation et Dialogues;Coline Serreau;Oui;F;TROIS HOMMES ET UN COUFFIN
1988;Meilleur Scénario Original et/ou Adaptation;Colo Tavernier;Non;F;LA PASSION BÉATRICE
2003;Meilleur Scénario Original ou Adaptation;Costa Gavras, Jean-Claude Grumberg;Oui;M;AMEN
1993;Meilleur Scénario Original et/ou Adaptation;Cyril Collard;Non;M;LES NUITS FAUVES
2007;Meilleur Scénario Original;Danièle Thompson, Christopher Thompson;Non;Mixte;FAUTEUILS D'ORCHESTRE
2002;Meilleur Scénario Original ou Adaptation;Danis Tanovic;Non;M;NO MAN'S LAND
2009;Meilleur Scénario Original;Dany Boon, Franck Magnier, Alexandre Charlot;Non;M;BIENVENUE CHEZ LES CH'TIS
1978;Meilleur Scénario, Dialogues ou Adaptation;David Mercer;Oui;M;PROVIDENCE
1981;Meilleur Scénario, Dialogues ou Adaptation;David Rayfiel, Bertrand Tavernier;Non;M;LA MORT EN DIRECT
2016;Meilleur Scénario Original;Deniz Gamze Ergüven, Alice Winocour;Oui;Mixte;MUSTANG
2004;Meilleur Scénario Original ou Adaptation;Denys Arcand;Oui;M;LES INVASIONS BARBARES
1984;Meilleur Scénario Original et Dialogues;Diane Kurys, Alain Le Henry;Non;Mixte;COUP DE FOUDRE
1980;Meilleur Scénario, Dialogues ou Adaptation;Didier Decoin, Henri Verneuil;Non;M;I COMME ICARE
1983;Meilleur Scénario Original et Dialogues;Elie Chouraqui;Non;M;QU'EST-CE QUI FAIT COURIR DAVID
2016;Meilleur Scénario Original;Emmanuelle Bercot, Marcia Romano;Non;Mixte;LA TÊTE HAUTE
1990;Meilleur Scénario Original et/ou Adaptation;Eric Rochant;Non;M;UN MONDE SANS PITIÉ
1983;Meilleur Scénario Original et Dialogues;Eric Rohmer;Non;M;LE BEAU MARIAGE
1985;Meilleur Scénario Original et Dialogues;Eric Rohmer;Non;M;LES NUITS DE LA PLEINE LUNE
1988;Meilleur Scénario Original et/ou Adaptation;Eric Rohmer;Non;M;L'AMI DE MON AMIE
2012;Meilleur Scénario Original;Eric Toledano, Olivier Nakache;Non;M;INTOUCHABLES
1989;Meilleur Scénario Original et/ou Adaptation;Etienne Chatiliez, Florence Quentin;Oui;Mixte;LA VIE EST UN LONG FLEUVE TRANQUILLE
2011;Meilleur Scénario Original;Etienne Comar, Xavier Beauvois;Non;M;DES HOMMES ET DES DIEUX
1996;Meilleur Scénario Original et/ou Adaptation;Florence Quentin;Non;F;LE BONHEUR EST DANS LE PRÉ
2013;Meilleur Scénario Original;Florence Vignon, Stéphane Brizé;Non;Mixte;QUELQUES HEURES DE PRINTEMPS
1984;Meilleur Scénario Original et Dialogues;Francis Veber;Non;M;LES COMPÈRES
1987;Meilleur Scénario Original et/ou Adaptation;Francis Veber;Non;M;LES FUGITIFS
1999;Meilleur Scénario Original, Adaptation et Dialogues;Francis Veber;Oui;M;LE DÎNER DE CONS
1977;Meilleur Scénario, Dialogues ou Adaptation;Francis Veber;Non;M;LE JOUET
2002;Meilleur Scénario Original ou Adaptation;François Dupeyron;Non;M;LA CHAMBRE DES OFFICIERS
1989;Meilleur Scénario Original et/ou Adaptation;François Dupeyron, Dominique Faysse;Non;Mixte;DRÔLE D'ENDROIT POUR UNE RENCONTRE
2003;Meilleur Scénario Original ou Adaptation;François Ozon, Marina de Van;Non;Mixte;8 FEMMES
1997;Meilleur Scénario Original et/ou Adaptation;Gabriel Aghion, Patrick Timsit;Non;M;PÉDALE DOUCE
1979;Meilleur Scénario, Dialogues ou Adaptation;Georges Conchon, Jacques Rouffio;Non;M;LE SUCRE
1976;Meilleur Scénario, Dialogues ou Adaptation;Georges Conchon, Jacques Rouffio;Non;M;SEPT MORTS SUR ORDONNANCE
1982;Meilleur Scénario, Dialogues ou Adaptation;Gérard Brach;Non;M;LA GUERRE DU FEU
1992;Meilleur Scénario Original et/ou Adaptation;Gilles Adrien, Marc Caro, Jean-Pierre Jeunet;Oui;M;DELICATESSEN
2001;Meilleur Scénario Original ou Adaptation;Gilles Marchand, Dominik Moll;Non;M;HARRY, UN AMI QUI VOUS VEUT DU BIEN
2007;Meilleur Scénario Original;Isabelle Mergault;Non;F;JE VOUS TROUVE TRÈS BEAU
1995;Meilleur Scénario Original et/ou Adaptation;Jacques Audiard, Alain Le Henry;Non;M;REGARDE LES HOMMES TOMBER
1997;Meilleur Scénario Original et/ou Adaptation;Jacques Audiard, Alain Le Henry;Non;M;UN HÉROS TRÈS DISCRET
2010;Meilleur Scénario Original;Jacques Audiard, Thomas Bidegain, Abdel Raouf Dafri, Nicolas Peufaillit;Oui;M;UN PROPHÈTE
2002;Meilleur Scénario Original ou Adaptation;Jacques Audiard, Tonino Benacquista;Oui;M;SUR MES LÈVRES
1991;Meilleur Scénario Original et/ou Adaptation;Jacques Doillon;Non;M;LE PETIT CRIMINEL
1980;Meilleur Scénario, Dialogues ou Adaptation;Jacques Doillon;Non;M;LA DRÔLESSE
1996;Meilleur Scénario Original et/ou Adaptation;Jacques Fieschi, Claude Sautet;Non;M;NELLY ET MR ARNAUD
1993;Meilleur Scénario Original et/ou Adaptation;Jacques Fieschi, Claude Sautet;Non;M;UN COEUR EN HIVER
1999;Meilleur Scénario Original, Adaptation et Dialogues;Jacques Fieschi, Nicole Garcia;Non;Mixte;PLACE VENDÔME
1982;Meilleur Scénario, Dialogues ou Adaptation;Jean Aurenche, Bertrand Tavernier;Non;M;COUP DE TORCHON
1977;Meilleur Scénario, Dialogues ou Adaptation;Jean Aurenche, Bertrand Tavernier;Oui;M;LE JUGE ET L'ASSASSIN
1976;Meilleur Scénario, Dialogues ou Adaptation;Jean Aurenche, Bertrand Tavernier;Oui;M;QUE LA FÊTE COMMENCE
1997;Meilleur Scénario Original et/ou Adaptation;Jean Cosmos, Bertrand Tavernier;Non;M;CAPITAINE CONAN
1990;Meilleur Scénario Original et/ou Adaptation;Jean Cosmos, Bertrand Tavernier;Non;M;LA VIE ET RIEN D'AUTRE
1981;Meilleur Scénario, Dialogues ou Adaptation;Jean Gruault;Non;M;MON ONCLE D'AMÉRIQUE
1976;Meilleur Scénario, Dialogues ou Adaptation;Jean-Charles Tacchella;Non;M;COUSIN, COUSINE
1983;Meilleur Scénario Original et Dialogues;Jean-Claude Carrière, Daniel Vigne;Oui;M;LE RETOUR DE MARTIN GUERRE
1991;Meilleur Scénario Original et/ou Adaptation;Jean-Claude Carrière, Jean-Paul Rappeneau;Non;M;CYRANO DE BERGERAC
1998;Meilleur Scénario Original et/ou Adaptation;Jean-François Goyet, Manuel Poirier;Non;M;WESTERN
1977;Meilleur Scénario, Dialogues ou Adaptation;Jean-Loup Dabadie;Non;M;UN ÉLÉPHANT ÇA TROMPE ÉNORMÉMENT
1979;Meilleur Scénario, Dialogues ou Adaptation;Jean-Loup Dabadie, Claude Sautet;Non;M;UNE HISTOIRE SIMPLE
1978;Meilleur Scénario, Dialogues ou Adaptation;Jean-Loup Dabadie, Yves Robert;Non;M;NOUS IRONS TOUS AU PARADIS
1988;Meilleur Scénario Original et/ou Adaptation;Jean-Loup Hubert;Non;M;LE GRAND CHEMIN
2010;Meilleur Scénario Original;Jean-Paul Lilienfeld;Non;M;LA JOURNÉE DE LA JUPE
2004;Meilleur Scénario Original ou Adaptation;Jean-Paul Rappeneau, Patrick Modiano;Non;M;BON VOYAGE
1998;Meilleur Scénario Original et/ou Adaptation;Jean-Pierre Bacri, Agnès Jaoui;Oui;Mixte;ON CONNAÎT LA CHANSON
1994;Meilleur Scénario Original et/ou Adaptation;Jean-Pierre Bacri, Agnès Jaoui;Oui;Mixte;SMOKING/NO SMOKING
2001;Meilleur Scénario Original ou Adaptation;Jean-Pierre Bacri, Agnès Jaoui;Oui;Mixte;LE GOÛT DES AUTRES
