prénom;nom;Nom complet;pays;url;music short program;music free skating
Alexei;BYCHENKO;Alexei BYCHENKO;ISR;http://www.isuresults.com/bios/isufs00007020.htm;Hava Nagila (Jewish Folk Song);"Recitar! Vesti La Giubba (from ""Pagliacci"") by Ruggero Leoncavallo performed by Andrea Boccelli"
Daniel;SAMOHIN;Daniel SAMOHIN;ISR;http://www.isuresults.com/bios/isufs00034509.htm;L'Immensita by Il Volo;Two Angels by Sergei Erdenko performed by Loyko
Matteo;RIZZO;Matteo RIZZO;ITA;http://www.isuresults.com/bios/isufs00013919.htm;Torno A Surriento by Il Volo;Come Together by The Beatles Let It Be performed by Air With Air Rising Help! by The Beatles
Yuzuru;HANYU;Yuzuru HANYU;JPN;http://www.isuresults.com/bios/isufs00010967.htm;Ballade No. 1 by Frederic Chopin;SEIMEI (soundtrack) by Shigeru Umebayashi
Keiji;TANAKA;Keiji TANAKA;JPN;http://www.isuresults.com/bios/isufs00010968.htm;Memories by Gary Moore;Amarcord by Nino Rota Le Notti di Cabiria by Nino Rota La Paaserella di Otto e Mezzo by Nino Rota
Shoma;UNO;Shoma UNO;JPN;http://www.isuresults.com/bios/isufs00012455.htm;"Winter (from ""Four Seasons"") by Antonio Vivaldi";"Violin Fantasy on Puccini's Turandot performed by Vanessa-Mae Nessun Dorma (from ""Turandot"") by Giacomo Puccini, performed by Jose Carreras"
Denis;TEN;Denis TEN;KAZ;http://www.isuresults.com/bios/isufs00008858.htm;Tu Sei by Vittorio Grigolo;SOS d'un terrien en detresse by Michel Berger performed by Dimash Kudaibergen
Junhwan;CHA;Junhwan CHA;KOR;http://www.isuresults.com/bios/isufs00054719.htm;"Gypsy Dance (from ""Don Quixote"") by Leon Minkus";"Morning (Love Sonnet XXVII) from ""Il Postino"" (The Postman) soundtrackTheme from ""Il Postino"" (The Postman) soundtrack Mi Mancherai from ""Il Postino"" (The Postman) soundtrack"
Deniss;VASILJEVS;Deniss VASILJEVS;LAT;http://www.isuresults.com/bios/isufs00011354.htm;Recondita Armonia by Giacomo Puccini;Put the Blame On Mame by Allan Roberts & Doris Fisher performed by Doctor 3 Anyone to Love by Andrew Von Slee performed by Michael Buble Sway Luis Demetrio performed by Michael Buble
Julian Zhi Jie;YEE;Julian Zhi Jie YEE;MAS;http://www.isuresults.com/bios/isufs00013721.htm;To Build A Home by Cinematic Orchestra;It's a Man's World by James Brown Get It On by James Brown I Feel Good by James Brown
Dmitri;ALIEV;Dmitri ALIEV;OAR;http://www.isuresults.com/bios/isufs00014956.htm;Masquerade Waltz by Aram Khatchaturian;"To Build A Home by Cinematic Orchestra The Winner Is (from ""Little Miss Sunshine"" soundtrack) by Mychael Danner & DeVotchKa How It Ends (from ""Little Miss Sunshine"" soundtrack) by Mychael Danner & DeVotchKa"
Mikhail;KOLYADA;Mikhail KOLYADA;OAR;http://www.isuresults.com/bios/isufs00013562.htm;Piano Concerto No. 23 in A Major by Wolfgang Amadeus Mozart Tango;Steamroller Blues by Elvis Presley Can't Help Falling In Love by Elvis Presley Rip It Up by Elvis Presley
Michael Christian;MARTINEZ;Michael Christian MARTINEZ;PHI;http://www.isuresults.com/bios/isufs00012802.htm;Emerald Tiger by Vanessa Mae;"El Tango de Roxanne (from ""Moulin Rouge"") Tango de los Exilados by Walter Taieb, Vanessa Mae"
Yaroslav;PANIOT;Yaroslav PANIOT;UKR;http://www.isuresults.com/bios/isufs00013671.htm;Romeo and Juliet Ouverture by P.I. Tchaikovski;The Four Seasons by Antonio Vivaldi
Nathan;CHEN;Nathan CHEN;USA;http://www.isuresults.com/bios/isufs00054124.htm;Nemesis by Benjamin Clementine;Mao's Last Dancer (soundtrack) by Christopher Gordon Sacre du Printemps by Igor Stravinski
Adam;RIPPON;Adam RIPPON;USA;http://www.isuresults.com/bios/isufs00008908.htm;Let Me Think About It (Eddie Thoneick Remix) performed by Ida Carr feat. Fedde Le Grand;"Arrival of the Birds (""Crimson Wing"" soundtrack) by The Cinematic Orchestra O by Coldplay"
Vincent;ZHOU;Vincent ZHOU;USA;http://www.isuresults.com/bios/isufs00034362.htm;Chasing Cars by Snow Patrol;"Nature Boy (from ""Moulin Rouge"" soundtrack) by Eden Ahbez, performed by David Bowie Come What May (from ""Moulin Rouge"" soundtrack) by Franklin Tableporter, performed by Ewan McGregor & Nicole Kidman"
Misha;GE;Misha GE;UZB;http://www.isuresults.com/bios/isufs00013128.htm;Pain of the Heart:Ave Maria by Giulio Caccini performed by Ikuko Kawai;"The Memories of Youth:Meditation (from ""Thais"") by Jules Massenet performed by Lucia Micarelli & Lang Lang"
;;Piper GILLES / Paul POIRIER;CAN;http://www.isuresults.com/bios/isufs00034084.htm;Bossa Nova: Bossa Cubana Mambo: Gopher Mambo;The Chase Bond Theme (Octopussy soundtrack) by John Barry The Palace Fight (Octopussy soundtrack) by John Barry Thunderball (Thunderball soundtrack) by John Barry Yo Yo Fight and Death of Vijay (Octopussy soundtrack) by John Barry
;;Tessa VIRTUE / Scott MOIR;CAN;http://www.isuresults.com/bios/isufs00006989.htm;Samba: Sympathy for the Devil by Mick Jagger, Keith Richards performed by The Rolling Stones Rhumba: Hotel California by Don Felders, Don Henley, Glenn Frey performed by Eagles Cha Cha: Oye Como Va by Tito Puente performed by Santana;"El Tango de Roxanne (from ""Moulin Rouge"" soundtrack) Come What May (from ""Moulin Rouge"" soundtrack)"
;;Kaitlyn WEAVER / Andrew POJE;CAN;http://www.isuresults.com/bios/isufs00009841.htm;Bolero: Tango by Dianne Reeves feat. Raul Midon Mambo: Do You Only Wanna Dance by Lester Mendez, Sy Smith, Arturo O’Farrill performed by Julio Daviel Big Band;Je suis malade by Alice Dona, Serge Lama performed by Lara Fabian
;;Shiyue WANG / Xinyu LIU;CHN;http://www.isuresults.com/bios/isufs00012691.htm;Rhumba: Despacito Samba;Over My Shoulder by Mika Happy Ending by Mika
